chem_fp_001,chem_fp_005,chem_fp_006,chem_fp_007,chem_fp_011,chem_fp_012,chem_fp_013,chem_fp_014,chem_fp_015,chem_fp_017,chem_fp_018,chem_fp_019,chem_fp_020,chem_fp_021,chem_fp_022,chem_fp_023,chem_fp_028,chem_fp_029,chem_fp_082,chem_fp_120,chem_fp_121,chem_fp_122,chem_fp_123,chem_fp_124,chem_fp_126,chem_fp_127,chem_fp_135,chem_fp_136,chem_fp_139,chem_fp_141,chem_fp_142,chem_fp_144,chem_fp_145,chem_fp_150,chem_fp_151,chem_fp_161,chem_fp_169,class
0.0,18,5,13,6,12,12,6,6,6,6,6,3,10,9,4,1,2,3,5,18,12,6,0,5,7,0,0,4,0,0,0,0,0,0,0,6,1
0.0,15,4,11,4,11,9,4,6,5,6,6,3,10,6,3,3,0,3,4,15,9,6,0,4,6,2,2,0,1,1,3,3,0,0,0,6,0
0.0,12,6,6,6,6,12,6,0,6,0,0,5,5,0,0,6,0,6,5,11,11,0,0,6,15,5,5,4,3,3,2,2,0,0,0,0,0
0.0,25,4,21,5,20,11,4,14,7,13,14,3,18,14,6,5,0,2,7,27,11,16,0,4,5,1,1,1,0,0,3,3,0,0,0,13,1
0.0,28,7,21,7,21,16,7,12,9,12,12,1,15,8,6,3,0,5,10,29,17,12,0,7,6,0,3,1,2,4,4,7,0,0,0,12,1
0.0,24,6,18,8,16,12,8,12,4,12,12,1,15,10,6,1,0,3,2,26,14,12,5,6,9,0,0,3,0,0,8,13,1,0,4,12,1
0.0,22,4,18,4,18,10,4,12,6,12,12,4,17,12,9,4,0,3,7,23,11,12,0,4,6,2,2,0,0,0,3,3,0,0,0,12,0
0.0,14,4,10,4,10,8,4,6,4,6,6,2,9,4,3,4,0,3,1,15,9,6,6,4,6,3,3,0,1,1,3,3,0,0,6,6,0
0.0,34,6,28,6,28,13,4,21,9,19,18,7,27,22,12,3,4,1,7,38,16,22,6,2,2,0,0,0,1,0,2,2,0,2,6,16,0
0.0,15,4,11,4,11,9,4,6,5,6,6,2,9,5,3,2,0,3,4,15,9,6,0,4,5,1,1,1,2,4,1,1,0,0,0,6,0
0.0,10,3,7,3,7,10,3,0,7,0,0,2,2,1,0,2,0,2,4,9,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,28,4,24,4,24,28,4,0,24,0,0,27,27,21,0,2,16,4,4,31,31,0,20,4,6,0,0,0,0,0,1,1,0,5,12,0,1
0.0,19,9,10,9,10,10,5,9,5,5,2,4,6,4,2,5,0,4,2,21,11,10,5,8,22,5,7,9,3,6,9,13,3,3,0,2,0
0.0,36,10,26,10,26,24,10,12,14,12,12,10,28,18,4,5,2,9,3,40,28,12,15,10,35,3,3,7,9,12,7,9,5,2,12,12,0
0.0,19,9,10,9,10,10,5,9,5,5,2,4,6,4,2,5,0,4,2,21,11,10,5,8,22,5,7,9,3,6,9,13,3,3,0,2,0
0.0,16,5,11,5,11,4,4,12,0,11,10,0,10,7,7,0,0,0,2,17,5,12,0,5,7,1,2,3,2,3,5,6,0,0,0,11,1
0.0,14,4,10,4,10,14,4,0,10,0,0,7,7,5,0,4,5,0,3,14,14,0,8,4,6,1,1,0,2,2,0,0,0,0,0,0,1
0.0,14,4,9,7,7,14,7,0,7,0,0,4,4,1,0,6,1,2,4,14,14,0,6,4,3,0,0,1,0,0,1,2,0,0,6,0,1
0.0,26,4,22,4,22,14,4,12,10,12,12,7,21,16,9,4,2,2,7,28,16,12,6,4,3,0,0,0,0,4,0,0,0,4,6,12,0
0.0,100,33,67,34,66,89,32,11,57,9,7,45,54,36,7,15,17,16,35,103,92,11,26,32,408,23,23,5,21,33,34,37,8,15,0,6,0
0.0,10,2,8,2,8,4,1,6,3,5,4,1,6,6,4,1,0,0,3,10,4,6,0,2,1,0,0,1,0,0,0,0,0,0,0,5,1
0.0,25,4,21,5,20,9,4,16,5,15,15,2,18,13,8,3,0,1,6,27,10,17,0,4,5,0,0,4,0,0,3,3,0,0,0,15,1
0.0,15,6,9,6,9,15,6,0,9,0,0,6,6,5,0,2,2,4,8,14,14,0,0,6,9,0,0,1,0,0,2,4,0,0,0,0,1
0.0,5,4,1,4,1,5,4,0,1,0,0,0,0,0,0,0,0,2,0,4,4,0,0,4,6,2,2,0,0,0,0,0,0,0,0,0,1
0.0,12,2,10,2,10,6,2,6,4,6,6,1,7,5,4,1,0,1,2,12,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
0.0,17,6,11,8,9,6,5,11,1,8,6,0,7,6,4,0,0,2,3,18,7,11,0,6,9,1,1,4,1,3,6,8,0,0,0,6,1
0.0,29,2,27,2,27,29,2,0,27,0,0,26,29,25,0,1,14,2,5,31,31,0,16,2,1,0,0,0,0,0,0,0,2,3,10,0,1
0.0,24,3,21,6,18,7,4,17,3,15,13,1,16,12,10,2,0,1,6,26,9,17,0,2,0,0,0,0,0,1,0,1,0,0,0,12,0
0.0,30,7,23,7,23,30,7,0,23,0,0,24,25,18,0,2,9,6,4,33,33,0,20,6,9,1,2,1,1,2,2,2,2,6,12,0,0
0.0,21,2,19,8,13,9,8,12,1,12,12,0,14,5,2,0,0,2,2,22,10,12,0,2,1,0,0,0,0,0,1,1,0,0,0,12,0
0.0,22,4,18,4,18,16,4,6,12,6,6,8,16,13,3,1,5,3,9,22,16,6,0,4,5,1,1,0,1,1,2,2,0,0,0,6,0
0.0,11,2,9,2,9,1,1,10,0,9,9,0,9,8,6,0,0,1,0,12,1,11,0,2,1,1,1,0,0,0,0,0,0,0,0,9,1
0.0,26,4,22,5,21,20,5,6,15,6,6,11,18,14,5,4,6,3,9,26,20,6,6,3,2,2,2,0,0,0,0,0,0,0,6,6,0
0.0,19,2,17,7,12,7,7,12,0,12,12,0,12,4,4,0,0,2,2,20,8,12,0,2,1,0,0,0,0,0,1,1,0,0,0,12,0
0.0,11,4,7,5,6,5,5,6,0,6,6,0,6,4,4,0,0,2,1,11,5,6,0,4,5,0,0,0,0,0,6,6,0,0,0,6,0
0.0,11,5,6,6,5,2,2,9,0,5,2,0,2,3,1,0,0,0,0,12,2,10,0,4,7,3,0,4,4,2,5,3,0,0,0,2,1
0.0,41,7,34,7,34,41,7,0,34,0,0,36,37,30,0,1,14,7,6,45,45,0,26,7,11,0,0,0,2,4,0,0,5,11,22,0,0
0.0,15,4,11,4,11,9,4,6,5,6,6,3,10,6,3,3,0,3,4,15,9,6,0,4,6,1,1,1,2,2,3,3,0,0,0,6,1
0.0,44,13,31,13,31,28,12,16,16,15,15,9,28,19,5,4,0,10,9,47,30,17,6,13,50,6,8,8,6,12,11,20,6,6,6,15,1
0.0,35,6,29,6,29,17,6,18,11,18,18,8,28,20,13,4,4,1,7,39,21,18,11,4,3,1,2,3,3,5,2,2,1,1,5,18,1
0.0,28,4,24,4,24,28,4,0,24,0,0,27,27,21,0,2,16,4,4,31,31,0,20,4,6,0,0,0,0,0,1,1,0,5,12,0,1
0.0,26,3,23,5,21,14,5,12,9,12,12,7,21,16,9,1,2,3,7,28,16,12,3,3,0,0,0,0,0,1,0,0,5,0,0,12,0
0.0,24,2,22,6,18,7,4,17,3,15,13,1,16,12,10,2,0,0,6,26,9,17,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0
0.0,16,3,13,3,13,10,3,6,7,6,6,6,13,11,5,0,3,2,2,17,11,6,6,3,2,0,0,1,0,0,2,3,1,4,6,6,1
0.0,59,13,46,13,46,44,12,15,32,14,14,24,43,27,6,8,6,9,10,67,51,16,29,12,33,5,5,8,6,8,4,18,4,1,12,8,0
0.0,21,4,17,4,17,9,4,12,5,12,12,2,15,10,8,3,0,1,4,23,11,12,5,4,5,2,3,1,0,0,2,2,0,0,0,12,1
0.0,7,2,5,3,4,2,1,5,1,3,1,0,1,2,2,0,0,0,0,7,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,22,6,16,6,16,7,4,15,3,13,12,0,14,13,8,0,0,3,4,24,8,16,0,5,9,1,0,2,1,2,2,0,0,0,0,10,1
0.0,19,4,15,4,15,13,4,6,9,6,6,4,11,8,4,3,2,2,9,19,13,6,0,4,3,0,1,0,0,1,4,4,0,0,0,6,0
0.0,6,1,5,3,3,6,3,0,3,0,0,2,2,0,0,3,0,1,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,9,3,6,3,6,9,3,0,6,0,0,5,5,4,0,1,4,2,5,8,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0.0,60,14,46,14,46,45,13,15,32,14,14,24,43,27,6,8,6,10,10,68,52,16,29,13,36,5,5,8,7,9,4,23,4,1,12,8,0
0.0,23,5,18,8,15,11,8,12,3,12,12,2,15,7,5,1,0,4,5,24,12,12,0,5,9,2,2,0,2,2,0,0,0,0,0,12,0
8e-05,36,7,29,8,28,36,8,0,28,0,0,27,29,22,0,2,9,7,8,39,39,0,20,7,6,0,2,1,1,3,1,3,3,7,12,0,0
0.000133,35,9,26,9,26,23,9,12,14,12,12,7,23,16,9,3,0,6,9,37,25,12,6,8,7,0,1,4,0,1,4,8,4,4,6,12,1
0.000151,35,6,29,8,27,30,7,5,23,4,3,23,29,22,3,2,7,5,5,39,34,5,20,6,5,0,3,0,1,2,1,4,3,7,12,0,0
0.0002,22,5,17,5,17,10,5,12,5,12,12,3,17,11,7,3,0,4,6,23,11,12,0,5,10,1,1,1,2,2,3,3,0,0,0,12,1
0.000421,22,2,20,3,19,11,2,11,9,10,9,5,19,16,6,2,2,1,0,25,14,11,11,2,0,0,0,0,0,0,0,0,0,2,6,6,0
0.0005,34,5,29,6,28,13,5,21,8,20,20,5,28,21,11,4,3,4,7,38,16,22,6,5,7,0,1,0,0,0,0,2,0,0,6,16,1
0.0007,14,3,11,5,9,8,5,6,3,6,6,1,7,3,3,2,0,0,1,15,9,6,5,3,3,1,1,0,1,1,0,0,0,0,0,6,1
0.0008,24,5,19,5,19,15,4,9,11,8,8,7,18,13,4,4,1,2,3,27,17,10,9,4,9,1,1,2,2,1,3,2,1,0,7,4,0
0.00166,26,8,18,9,17,20,9,6,11,6,6,6,13,6,3,3,0,6,5,28,22,6,8,8,13,4,5,6,2,6,6,8,1,7,0,6,1
0.00221,55,14,41,14,41,55,14,0,41,0,0,40,41,24,0,15,15,14,7,62,62,0,43,14,63,4,6,10,5,14,6,9,13,12,30,0,0
0.0023,28,8,20,8,20,22,8,6,14,6,6,9,18,13,4,1,1,6,6,29,23,6,6,7,6,0,0,4,0,0,4,8,4,4,6,6,0
0.00282,23,2,21,2,21,23,2,0,21,0,0,22,24,20,0,0,13,2,2,26,26,0,20,2,1,0,0,0,0,0,0,0,0,0,12,0,1
0.003,28,6,22,6,22,28,6,0,22,0,0,23,25,18,0,2,7,5,2,31,31,0,20,5,9,2,2,1,1,1,1,1,3,7,12,0,0
0.00337,25,5,20,5,20,16,4,9,12,8,8,8,19,14,4,4,2,2,4,28,18,10,9,4,9,1,1,2,2,1,3,2,1,0,7,4,0
0.0039,25,4,21,4,21,19,4,6,15,6,6,14,23,14,2,4,6,3,2,30,24,6,19,4,5,2,2,1,2,4,3,6,1,2,9,4,0
0.00398,34,4,30,5,29,16,5,18,11,18,18,7,28,21,14,3,3,2,7,37,19,18,6,4,3,0,0,2,0,2,0,0,0,4,6,18,0
0.004,30,6,24,7,23,18,7,12,11,12,12,5,21,13,7,7,1,1,6,33,21,12,10,3,2,1,3,0,0,0,2,2,0,2,8,12,0
0.0055,29,7,22,7,22,16,7,13,9,13,13,3,19,12,4,1,1,6,5,31,18,13,4,7,6,0,3,1,1,1,2,3,0,0,0,6,1
0.0059,20,2,18,2,18,14,2,6,12,6,6,13,21,17,3,0,7,2,0,23,17,6,14,2,1,0,0,0,0,0,0,0,0,0,6,6,1
0.0077,20,2,18,2,18,14,2,6,12,6,6,10,18,13,3,2,6,1,1,23,17,6,14,2,0,0,0,0,0,0,0,0,0,0,11,6,0
0.008,26,4,22,4,22,20,4,6,16,6,6,12,20,16,5,4,6,3,10,27,21,6,6,4,3,2,2,0,0,1,0,0,0,0,6,6,0
0.009,29,2,27,3,26,11,3,18,8,18,18,3,25,20,14,4,0,1,9,31,13,18,0,2,0,0,1,0,0,0,0,0,0,0,0,18,1
0.009,16,4,12,4,12,10,4,6,6,6,6,4,11,7,3,2,0,3,4,16,10,6,0,4,6,1,1,1,2,2,3,3,0,0,0,6,1
0.0098,22,2,20,2,20,22,2,0,20,0,0,21,23,19,0,0,12,2,1,25,25,0,20,2,1,0,0,0,0,0,0,0,0,0,12,0,1
0.01,20,2,18,3,17,8,3,12,5,12,12,2,14,9,8,2,0,0,3,22,10,12,4,2,0,0,1,0,0,0,0,0,0,0,2,12,0
0.01,20,1,19,1,19,8,1,12,7,12,12,3,20,17,8,1,1,0,3,22,10,12,5,1,0,0,0,0,0,0,0,0,0,0,0,12,1
0.01,25,3,22,7,18,8,5,17,3,15,13,1,16,11,9,2,0,1,6,27,10,17,0,2,0,0,0,0,0,1,0,1,0,0,0,12,0
0.01,28,4,24,4,24,28,4,0,24,0,0,23,25,20,0,1,12,4,5,31,31,0,20,4,0,0,0,0,0,0,0,0,0,0,12,0,1
0.01,23,2,21,2,21,17,2,6,15,6,6,14,23,18,3,0,7,2,2,26,20,6,14,2,1,0,0,0,0,0,0,0,0,0,6,6,1
0.01,16,10,6,10,6,16,10,0,6,0,0,5,5,0,0,6,0,8,4,17,17,0,9,8,0,0,5,4,0,9,0,10,0,1,0,0,0
0.01,20,5,15,6,14,14,6,6,8,6,6,3,10,5,2,4,0,2,7,20,14,6,0,5,7,1,1,3,0,1,5,5,0,0,0,6,0
0.01,19,2,17,3,16,7,2,12,5,11,10,2,14,12,8,1,1,0,5,20,8,12,0,2,0,0,0,0,0,1,0,0,0,0,0,11,0
0.0196,17,6,11,6,11,11,6,6,5,6,6,2,9,7,5,2,0,4,7,17,11,6,0,6,9,0,0,1,0,0,2,4,0,0,0,6,1
0.02,15,4,11,4,11,10,2,5,8,3,1,6,8,8,2,1,3,2,3,16,11,5,5,3,0,0,0,0,0,1,0,1,1,1,0,0,0
0.02,12,0,12,6,6,12,6,0,6,0,0,6,6,0,0,6,0,0,0,12,12,0,6,0,0,0,0,0,0,0,0,0,6,6,6,0,0
0.02,25,5,20,5,20,19,5,6,14,6,6,14,22,13,2,4,6,4,2,30,24,6,19,5,7,2,3,1,4,6,4,11,1,2,9,4,1
0.02,15,8,7,9,6,9,7,6,2,4,2,0,3,1,0,0,0,1,1,15,9,6,0,8,25,3,6,7,4,4,12,13,0,0,0,4,0
0.02,30,5,25,7,23,18,7,12,11,12,12,4,19,12,7,5,1,2,5,33,21,12,10,5,0,0,2,0,0,0,0,0,0,2,8,12,0
0.025,25,3,22,3,22,20,1,5,19,3,2,19,25,21,1,0,9,1,1,29,24,5,19,3,2,0,0,1,0,0,0,0,0,0,10,0,1
0.0251,90,28,62,28,62,76,26,14,50,12,12,32,48,31,2,14,8,15,8,96,80,16,40,28,125,11,25,12,9,34,13,28,12,16,0,12,1
0.0291,21,7,14,8,13,16,5,5,11,2,1,7,8,3,0,7,0,3,7,22,17,5,6,7,11,2,8,3,1,5,3,8,0,0,6,0,1
0.03,25,2,23,3,22,2,1,23,1,21,19,0,22,20,17,0,0,0,4,28,5,23,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0
0.0309,25,7,18,8,17,13,8,12,5,12,12,3,16,11,7,1,2,5,8,26,14,12,0,7,15,1,1,3,5,5,6,10,0,0,0,12,1
0.032,22,2,20,3,19,10,3,12,7,12,12,3,17,12,7,2,1,0,4,24,12,12,5,2,0,0,0,1,0,0,0,0,0,0,0,12,1
0.04,30,7,23,7,23,15,3,15,12,11,9,8,21,18,3,3,4,1,4,34,18,16,11,5,0,0,0,3,0,4,0,2,0,2,10,8,1
0.04428,30,9,21,9,21,24,9,6,15,6,6,9,18,12,4,3,0,7,8,31,25,6,6,8,7,0,1,4,0,1,4,8,4,4,6,6,1
0.06,13,4,9,4,9,7,3,6,4,5,4,0,4,4,4,0,0,2,2,13,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0
0.06,23,2,21,2,21,23,2,0,21,0,0,23,24,21,0,0,12,2,1,26,26,0,20,2,0,0,0,0,0,0,0,0,0,2,12,0,1
0.06,29,8,21,8,21,23,8,6,15,6,6,12,19,13,5,5,6,5,12,30,24,6,5,8,22,5,6,0,1,2,6,9,0,0,0,6,1
0.06,21,2,19,3,18,9,3,12,6,12,12,3,16,12,10,5,0,1,8,22,10,12,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0
0.06,21,2,19,2,19,9,2,12,7,12,12,3,17,13,8,2,1,0,4,23,11,12,5,2,0,0,0,1,0,0,0,0,0,0,0,12,1
0.06,20,5,15,6,14,11,5,9,6,8,8,1,11,9,4,2,0,2,6,21,11,10,0,4,7,0,0,0,1,0,1,0,0,0,0,4,0
0.0682,14,6,8,8,6,14,8,0,6,0,0,3,3,2,0,2,2,6,7,13,13,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1
0.075,18,5,13,5,13,12,4,6,8,5,4,5,9,9,4,1,0,0,3,18,12,6,0,5,7,0,0,4,0,0,2,4,0,0,0,5,0
0.073,10,4,6,5,5,1,1,9,0,5,2,0,2,4,2,0,0,0,0,11,1,10,0,3,3,3,0,3,2,2,2,1,0,0,0,2,1
0.0749,33,6,27,6,27,21,6,12,15,12,12,8,22,16,6,2,3,4,14,34,22,12,0,6,0,0,2,0,0,0,0,3,0,0,0,12,1
0.08,29,4,25,5,24,29,5,0,24,0,0,25,26,20,0,1,12,4,2,33,33,0,25,4,0,0,0,0,0,1,0,0,0,6,12,0,1
0.08,18,4,14,4,14,9,3,9,6,8,8,4,12,9,5,4,0,2,6,19,9,10,0,3,6,2,2,1,1,0,1,0,0,0,0,4,0
0.0876,19,2,17,2,17,7,2,12,5,12,12,1,15,12,10,3,0,1,6,20,8,12,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0
0.088,28,6,22,6,22,28,6,0,22,0,0,23,25,18,0,2,7,5,2,31,31,0,20,5,9,2,2,1,1,1,1,1,3,7,12,0,0
0.09,25,8,17,8,17,19,8,6,11,6,6,6,15,10,4,0,0,6,4,26,20,6,6,7,6,0,0,4,0,0,4,8,4,4,6,6,1
0.1,19,8,11,8,11,13,8,6,5,6,6,3,10,7,3,0,1,3,4,19,13,6,0,4,3,0,0,0,0,0,4,4,0,0,0,6,1
0.11,10,1,9,1,9,4,1,6,3,6,6,3,10,8,5,1,1,0,1,11,5,6,3,1,0,0,0,0,0,0,0,0,1,0,0,6,0
0.13,22,5,17,5,17,16,5,6,11,6,6,8,16,10,3,5,0,4,6,23,17,6,5,5,10,3,3,1,1,1,2,2,0,0,4,6,0
0.13,34,14,20,14,20,22,12,12,10,10,8,6,15,7,4,4,2,7,9,36,24,12,5,14,70,6,8,9,9,15,21,22,0,0,4,10,0
0.14,16,2,14,3,13,10,3,6,7,6,6,5,12,10,4,1,0,1,4,16,10,6,0,2,1,1,1,0,0,0,0,0,0,0,0,6,1
0.143,19,2,17,3,16,7,2,12,5,11,10,2,14,12,8,1,1,0,5,20,8,12,0,2,0,0,0,0,0,1,0,0,0,0,0,11,0
0.149,31,7,24,7,24,19,7,12,12,12,12,8,22,16,9,4,2,5,10,33,21,12,6,7,11,5,6,0,1,2,3,7,1,0,0,12,0
0.15,16,6,10,6,10,10,6,6,4,6,6,3,10,6,3,0,0,4,4,16,10,6,0,6,15,3,3,2,0,0,1,1,0,0,0,6,0
0.15,20,2,18,2,18,8,2,12,6,12,12,1,16,13,9,3,0,1,6,21,9,12,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0
0.27,25,4,21,4,21,13,4,12,9,12,12,6,20,16,9,4,2,3,11,26,14,12,0,4,5,2,2,2,0,0,0,0,0,0,0,12,0
0.16,32,10,22,10,22,20,10,12,10,12,12,4,20,10,4,8,0,6,12,34,22,12,4,10,44,4,4,4,8,10,4,4,0,0,2,12,1
0.163,34,4,30,4,30,16,4,18,12,18,18,9,30,25,15,4,3,2,10,37,19,18,6,4,0,0,0,0,0,5,0,0,0,4,6,18,0
0.19,19,3,16,3,16,7,2,12,5,11,10,1,12,10,9,3,0,0,6,20,8,12,0,3,0,0,1,0,0,1,0,1,0,0,0,11,1
0.22,11,2,9,2,9,5,2,6,3,6,6,2,9,7,5,2,0,1,2,11,5,6,0,2,1,1,1,0,0,0,0,0,0,0,0,6,0
0.24,17,9,8,9,8,12,6,5,6,2,0,4,5,2,1,5,0,5,3,18,13,5,5,8,22,6,10,5,3,4,9,13,3,3,0,0,0
0.26,12,2,10,2,10,6,2,6,4,6,6,2,9,7,5,2,0,1,3,12,6,6,0,2,1,1,1,0,0,0,0,0,0,0,0,6,0
0.273,30,6,24,6,24,15,5,15,10,14,14,7,24,19,8,2,2,4,8,32,16,16,0,4,6,0,0,3,0,0,2,2,0,0,0,10,0
0.28,19,4,15,4,15,9,3,10,6,9,9,4,13,10,5,2,2,1,6,20,9,11,0,4,5,1,1,1,1,3,1,1,0,0,0,9,0
0.3,30,7,23,8,22,8,2,22,6,16,13,3,21,19,8,1,2,1,8,33,11,22,0,5,9,2,1,2,1,1,0,0,0,0,0,12,1
0.31,23,4,19,5,18,11,5,12,6,12,12,2,15,8,7,4,0,0,0,26,14,12,11,4,3,1,3,2,1,3,0,0,0,2,6,12,1
0.34,16,8,8,8,8,11,7,5,4,4,3,1,5,4,2,2,0,4,2,17,12,5,5,7,0,0,6,2,0,1,0,8,0,0,0,0,1
0.34,22,7,15,7,15,11,5,11,6,9,7,1,11,8,4,2,0,3,3,24,13,11,4,5,0,0,2,1,0,3,0,5,0,0,0,6,0
0.34,22,2,20,2,20,22,2,0,20,0,0,15,20,19,0,0,3,2,0,22,22,0,6,2,1,0,0,0,0,0,0,0,2,0,6,0,1
0.37,17,7,10,10,7,11,10,6,1,6,6,0,6,2,2,1,0,4,1,18,12,6,5,7,15,0,0,5,0,0,13,17,0,0,4,6,1
