species,bill_length_mm,bill_depth_mm,body_mass_g,sex
Adelie,39.1,18.7,3750,male
Adelie,39.5,17.4,3800,female
Adelie,40.3,18,3250,female
Adelie,36.7,19.3,3450,female
Adelie,39.3,20.6,3650,male
Adelie,38.9,17.8,3625,female
Adelie,39.2,19.6,4675,male
Adelie,41.1,17.6,3200,female
Adelie,38.6,21.2,3800,male
Adelie,34.6,21.1,4400,male
Adelie,36.6,17.8,3700,female
Adelie,38.7,19,3450,female
Adelie,42.5,20.7,4500,male
Adelie,34.4,18.4,3325,female
Adelie,46,21.5,4200,male
Adelie,37.8,18.3,3400,female
Adelie,37.7,18.7,3600,male
Adelie,35.9,19.2,3800,female
Adelie,38.2,18.1,3950,male
Adelie,38.8,17.2,3800,male
Adelie,35.3,18.9,3800,female
Adelie,40.6,18.6,3550,male
Adelie,40.5,17.9,3200,female
Adelie,37.9,18.6,3150,female
Adelie,40.5,18.9,3950,male
Adelie,39.5,16.7,3250,female
Adelie,37.2,18.1,3900,male
Adelie,39.5,17.8,3300,female
Adelie,40.9,18.9,3900,male
Adelie,36.4,17,3325,female
Adelie,39.2,21.1,4150,male
Adelie,38.8,20,3950,male
Adelie,42.2,18.5,3550,female
Adelie,37.6,19.3,3300,female
Adelie,39.8,19.1,4650,male
Adelie,36.5,18,3150,female
Adelie,40.8,18.4,3900,male
Adelie,36,18.5,3100,female
Adelie,44.1,19.7,4400,male
Adelie,37,16.9,3000,female
Adelie,39.6,18.8,4600,male
Adelie,41.1,19,3425,male
Adelie,36,17.9,3450,female
Adelie,42.3,21.2,4150,male
Adelie,39.6,17.7,3500,female
Adelie,40.1,18.9,4300,male
Adelie,35,17.9,3450,female
Adelie,42,19.5,4050,male
Adelie,34.5,18.1,2900,female
Adelie,41.4,18.6,3700,male
Adelie,39,17.5,3550,female
Adelie,40.6,18.8,3800,male
Adelie,36.5,16.6,2850,female
Adelie,37.6,19.1,3750,male
Adelie,35.7,16.9,3150,female
Adelie,41.3,21.1,4400,male
Adelie,37.6,17,3600,female
Adelie,41.1,18.2,4050,male
Adelie,36.4,17.1,2850,female
Adelie,41.6,18,3950,male
Adelie,35.5,16.2,3350,female
Adelie,41.1,19.1,4100,male
Adelie,35.9,16.6,3050,female
Adelie,41.8,19.4,4450,male
Adelie,33.5,19,3600,female
Adelie,39.7,18.4,3900,male
Adelie,39.6,17.2,3550,female
Adelie,45.8,18.9,4150,male
Adelie,35.5,17.5,3700,female
Adelie,42.8,18.5,4250,male
Adelie,40.9,16.8,3700,female
Adelie,37.2,19.4,3900,male
Adelie,36.2,16.1,3550,female
Adelie,42.1,19.1,4000,male
Adelie,34.6,17.2,3200,female
Adelie,42.9,17.6,4700,male
Adelie,36.7,18.8,3800,female
Adelie,35.1,19.4,4200,male
Adelie,37.3,17.8,3350,female
Adelie,41.3,20.3,3550,male
Adelie,36.3,19.5,3800,male
Adelie,36.9,18.6,3500,female
Adelie,38.3,19.2,3950,male
Adelie,38.9,18.8,3600,female
Adelie,35.7,18,3550,female
Adelie,41.1,18.1,4300,male
Adelie,34,17.1,3400,female
Adelie,39.6,18.1,4450,male
Adelie,36.2,17.3,3300,female
Adelie,40.8,18.9,4300,male
Adelie,38.1,18.6,3700,female
Adelie,40.3,18.5,4350,male
Adelie,33.1,16.1,2900,female
Adelie,43.2,18.5,4100,male
Adelie,35,17.9,3725,female
Adelie,41,20,4725,male
Adelie,37.7,16,3075,female
Adelie,37.8,20,4250,male
Adelie,37.9,18.6,2925,female
Adelie,39.7,18.9,3550,male
Adelie,38.6,17.2,3750,female
Adelie,38.2,20,3900,male
Adelie,38.1,17,3175,female
Adelie,43.2,19,4775,male
Adelie,38.1,16.5,3825,female
Adelie,45.6,20.3,4600,male
Adelie,39.7,17.7,3200,female
Adelie,42.2,19.5,4275,male
Adelie,39.6,20.7,3900,female
Adelie,42.7,18.3,4075,male
Adelie,38.6,17,2900,female
Adelie,37.3,20.5,3775,male
Adelie,35.7,17,3350,female
Adelie,41.1,18.6,3325,male
Adelie,36.2,17.2,3150,female
Adelie,37.7,19.8,3500,male
Adelie,40.2,17,3450,female
Adelie,41.4,18.5,3875,male
Adelie,35.2,15.9,3050,female
Adelie,40.6,19,4000,male
Adelie,38.8,17.6,3275,female
Adelie,41.5,18.3,4300,male
Adelie,39,17.1,3050,female
Adelie,44.1,18,4000,male
Adelie,38.5,17.9,3325,female
Adelie,43.1,19.2,3500,male
Adelie,36.8,18.5,3500,female
Adelie,37.5,18.5,4475,male
Adelie,38.1,17.6,3425,female
Adelie,41.1,17.5,3900,male
Adelie,35.6,17.5,3175,female
Adelie,40.2,20.1,3975,male
Adelie,37,16.5,3400,female
Adelie,39.7,17.9,4250,male
Adelie,40.2,17.1,3400,female
Adelie,40.6,17.2,3475,male
Adelie,32.1,15.5,3050,female
Adelie,40.7,17,3725,male
Adelie,37.3,16.8,3000,female
Adelie,39,18.7,3650,male
Adelie,39.2,18.6,4250,male
Adelie,36.6,18.4,3475,female
Adelie,36,17.8,3450,female
Adelie,37.8,18.1,3750,male
Adelie,36,17.1,3700,female
Adelie,41.5,18.5,4000,male
Gentoo,46.1,13.2,4500,female
Gentoo,50,16.3,5700,male
Gentoo,48.7,14.1,4450,female
Gentoo,50,15.2,5700,male
Gentoo,47.6,14.5,5400,male
Gentoo,46.5,13.5,4550,female
Gentoo,45.4,14.6,4800,female
Gentoo,46.7,15.3,5200,male
Gentoo,43.3,13.4,4400,female
Gentoo,46.8,15.4,5150,male
Gentoo,40.9,13.7,4650,female
Gentoo,49,16.1,5550,male
Gentoo,45.5,13.7,4650,female
Gentoo,48.4,14.6,5850,male
Gentoo,45.8,14.6,4200,female
Gentoo,49.3,15.7,5850,male
Gentoo,42,13.5,4150,female
Gentoo,49.2,15.2,6300,male
Gentoo,46.2,14.5,4800,female
Gentoo,48.7,15.1,5350,male
Gentoo,50.2,14.3,5700,male
Gentoo,45.1,14.5,5000,female
Gentoo,46.5,14.5,4400,female
Gentoo,46.3,15.8,5050,male
Gentoo,42.9,13.1,5000,female
Gentoo,46.1,15.1,5100,male
Gentoo,47.8,15,5650,male
Gentoo,48.2,14.3,4600,female
Gentoo,50,15.3,5550,male
Gentoo,47.3,15.3,5250,male
Gentoo,42.8,14.2,4700,female
Gentoo,45.1,14.5,5050,female
Gentoo,59.6,17,6050,male
Gentoo,49.1,14.8,5150,female
Gentoo,48.4,16.3,5400,male
Gentoo,42.6,13.7,4950,female
Gentoo,44.4,17.3,5250,male
Gentoo,44,13.6,4350,female
Gentoo,48.7,15.7,5350,male
Gentoo,42.7,13.7,3950,female
Gentoo,49.6,16,5700,male
Gentoo,45.3,13.7,4300,female
Gentoo,49.6,15,4750,male
Gentoo,50.5,15.9,5550,male
Gentoo,43.6,13.9,4900,female
Gentoo,45.5,13.9,4200,female
Gentoo,50.5,15.9,5400,male
Gentoo,44.9,13.3,5100,female
Gentoo,45.2,15.8,5300,male
Gentoo,46.6,14.2,4850,female
Gentoo,48.5,14.1,5300,male
Gentoo,45.1,14.4,4400,female
Gentoo,50.1,15,5000,male
Gentoo,46.5,14.4,4900,female
Gentoo,45,15.4,5050,male
Gentoo,43.8,13.9,4300,female
Gentoo,45.5,15,5000,male
Gentoo,43.2,14.5,4450,female
Gentoo,50.4,15.3,5550,male
Gentoo,45.3,13.8,4200,female
Gentoo,46.2,14.9,5300,male
Gentoo,45.7,13.9,4400,female
Gentoo,54.3,15.7,5650,male
Gentoo,45.8,14.2,4700,female
Gentoo,49.8,16.8,5700,male
Gentoo,49.5,16.2,5800,male
Gentoo,43.5,14.2,4700,female
Gentoo,50.7,15,5550,male
Gentoo,47.7,15,4750,female
Gentoo,46.4,15.6,5000,male
Gentoo,48.2,15.6,5100,male
Gentoo,46.5,14.8,5200,female
Gentoo,46.4,15,4700,female
Gentoo,48.6,16,5800,male
Gentoo,47.5,14.2,4600,female
Gentoo,51.1,16.3,6000,male
Gentoo,45.2,13.8,4750,female
Gentoo,45.2,16.4,5950,male
Gentoo,49.1,14.5,4625,female
Gentoo,52.5,15.6,5450,male
Gentoo,47.4,14.6,4725,female
Gentoo,50,15.9,5350,male
Gentoo,44.9,13.8,4750,female
Gentoo,50.8,17.3,5600,male
Gentoo,43.4,14.4,4600,female
Gentoo,51.3,14.2,5300,male
Gentoo,47.5,14,4875,female
Gentoo,52.1,17,5550,male
Gentoo,47.5,15,4950,female
Gentoo,52.2,17.1,5400,male
Gentoo,45.5,14.5,4750,female
Gentoo,49.5,16.1,5650,male
Gentoo,44.5,14.7,4850,female
Gentoo,50.8,15.7,5200,male
Gentoo,49.4,15.8,4925,male
Gentoo,46.9,14.6,4875,female
Gentoo,48.4,14.4,4625,female
Gentoo,51.1,16.5,5250,male
Gentoo,48.5,15,4850,female
Gentoo,55.9,17,5600,male
Gentoo,47.2,15.5,4975,female
Gentoo,49.1,15,5500,male
Gentoo,46.8,16.1,5500,male
Gentoo,41.7,14.7,4700,female
Gentoo,53.4,15.8,5500,male
Gentoo,43.3,14,4575,female
Gentoo,48.1,15.1,5500,male
Gentoo,50.5,15.2,5000,female
Gentoo,49.8,15.9,5950,male
Gentoo,43.5,15.2,4650,female
Gentoo,51.5,16.3,5500,male
Gentoo,46.2,14.1,4375,female
Gentoo,55.1,16,5850,male
Gentoo,48.8,16.2,6000,male
Gentoo,47.2,13.7,4925,female
Gentoo,46.8,14.3,4850,female
Gentoo,50.4,15.7,5750,male
Gentoo,45.2,14.8,5200,female
Gentoo,49.9,16.1,5400,male
